Plot,Repeat,NPQ_ind_amp,NPQ_ind_rate,NPQ_rel_amp,NPQ_rel_rate,NPQ_rel_res,phiPSII_ind_amp,phiPSII_ind_rate,phiPSII_ind_res,NPQ_ind_linear,maxNPQ,endNPQ,endFvFm
1050,1,3.110534707,0.004285999,2.417024999,0.0232462,0.420642607,0.214784409,0.016912908,0.567875609,0.021666667,2.92,0.29,0.79
1050,2,2.921454689,0.008887736,2.614959276,0.0136499,0.393760234,0.227999281,0.010979291,0.554636703,0.0255,2.99,0.32,0.79
1050,3,3.206511898,0.006586234,2.971994663,0.021787791,0.404538482,0.258680711,0.015803019,0.504627328,0.037666667,3.43,0.32,0.77
1052,1,3.72894105,0.007793614,3.297064363,0.020834831,0.492457084,0.270472731,0.013539942,0.477677832,0.0465,3.89,0.35,0.76
1052,3,3.665034824,0.010008326,3.286495604,0.015111465,0.482613758,0.271718476,0.01086837,0.492313609,0.046,3.83,0.34,0.78
1053,1,3.547425267,0.014635731,3.087405582,0.014692548,0.49130111,0.261132869,0.010112965,0.48654213,0.051666667,3.69,0.4,0.75
1053,2,3.776990109,0.008032037,3.117690138,0.023257194,0.52252557,0.250268574,0.015646165,0.524090005,0.038666667,3.75,0.37,0.79
1053,3,3.67280191,0.013103584,3.165503134,0.019026537,0.482444024,0.263264341,0.013181929,0.510231315,0.050666667,3.78,0.33,0.78
1054,1,3.754108896,0.01004397,3.371578768,0.017539859,0.476116441,0.273732829,0.011892155,0.498035068,0.049166667,3.96,0.31,0.79
1054,3,3.260901413,0.014457986,3.021125341,0.014263342,0.393278462,0.267921953,0.009804261,0.493837976,0.0475,3.48,0.29,0.77
1055,2,3.405556487,0.005497995,2.912616463,0.026769006,0.468717961,0.255277583,0.019416288,0.494530809,0.035,3.44,0.29,0.77
1055,3,3.280575104,0.005235064,2.749489289,0.026692508,0.461600879,0.237446617,0.02004306,0.515038136,0.033833333,3.26,0.29,0.77
1056,2,3.877236002,0.004729381,3.216476299,0.016566019,0.421478809,0.277157011,0.011517666,0.472892588,0.034666667,3.71,0.3,0.76
1056,3,3.366401609,0.006048095,2.896867275,0.019598198,0.419516346,0.245358785,0.014936906,0.53033498,0.034666667,3.35,0.34,0.78
1057,1,3.687970845,0.006244587,3.120699429,0.019418644,0.412584533,0.256233519,0.014702034,0.52254524,0.028,3.59,0.29,0.79
1057,2,3.295545724,0.007187564,2.779863245,0.01939892,0.428707699,0.233706303,0.015401266,0.55371968,0.0225,3.24,0.31,0.8
1057,3,3.734424923,0.006333423,3.182203327,0.021310746,0.471138365,0.263522147,0.015456981,0.504459855,0.031666667,3.7,0.36,0.78
1058,1,4.123584568,0.008289822,3.597332002,0.014089569,0.455999822,0.289300518,0.008817789,0.490726187,0.037166667,4.22,0.29,0.79
1058,2,3.219499705,0.005854433,2.917008332,0.02489172,0.389607867,0.240316982,0.017031238,0.559931454,0.0335,3.39,0.27,0.81
1059,1,2.896448124,0.008426747,2.610050709,0.034101302,0.368508129,0.230155888,0.025547927,0.542491761,0.036,3.01,0.28,0.78
1059,2,3.135819763,0.009017986,2.90432568,0.035645647,0.350754926,0.265683938,0.024960996,0.46548984,0.0395,3.3,0.27,0.74
1060,1,2.936224195,0.004937369,2.351957774,0.024318706,0.41212467,0.21509345,0.019101375,0.56594225,0.022,2.82,0.26,0.8
1060,2,3.235530182,0.004983293,2.561176737,0.028397533,0.447614476,0.222265055,0.020287352,0.549993834,0.022833333,3.08,0.29,0.79
1060,3,3.263437698,0.004389055,2.526346485,0.027302599,0.434182251,0.222737948,0.018087935,0.548983426,0.0205,3.04,0.3,0.78
1061,2,3.379544448,0.010807325,3.05993495,0.015053704,0.46656724,0.249235717,0.00997831,0.531027664,0.045666667,3.65,0.31,0.79
1063,2,3.654903435,0.008809147,3.422748658,0.015016416,0.342727032,0.291775303,0.010462636,0.486185451,0.041333333,3.83,0.24,0.79
1064,1,3.444113036,0.006568577,2.896614722,0.017125014,0.463305268,0.237654555,0.012445884,0.551423118,0.024166667,3.4,0.36,0.8
1064,2,3.191821433,0.006633948,2.836569951,0.025209126,0.4335432,0.237325975,0.019414629,0.546230822,0.034333333,3.33,0.31,0.8
1064,3,3.822779882,0.006700238,3.272193391,0.03543785,0.522412898,0.262761073,0.025491289,0.488052061,0.033666667,3.87,0.33,0.77
1065,1,3.345233282,0.006254018,2.987303922,0.027160177,0.412939991,0.257673381,0.019372059,0.514019008,0.041,3.46,0.29,0.78
1065,2,3.742785073,0.00536786,3.167873397,0.024312251,0.387550127,0.263261089,0.017823002,0.515527642,0.0335,3.62,0.25,0.79
1065,3,4.188239751,0.005964197,3.552911221,0.023696283,0.513719016,0.282656606,0.015568,0.471154489,0.039833333,4.17,0.32,0.77
1066,3,2.982433159,0.007807362,2.606011252,0.025393325,0.462564461,0.2216373,0.01840975,0.545837761,0.031833333,3.12,0.34,0.78
1067,1,3.154396221,0.007622528,2.79871558,0.023732049,0.410147851,0.246245276,0.017382714,0.515051057,0.0385,3.27,0.28,0.77
1067,2,3.669139434,0.013251454,3.221302166,0.014594694,0.49490441,0.267301894,0.009906943,0.49817632,0.053166667,3.84,0.32,0.78
1068,1,2.860953952,0.005899353,2.466777076,0.020591387,0.386555878,0.226477707,0.015010094,0.555096243,0.027666667,2.89,0.31,0.79
1068,2,3.646776179,0.003962919,2.93652027,0.023308356,0.388438594,0.247433627,0.017198628,0.543513022,0.029,3.37,0.31,0.8
1068,3,3.215169621,0.008111891,2.872271534,0.018901581,0.434533434,0.2382383,0.013699485,0.536203245,0.0375,3.39,0.33,0.78
1069,1,3.212875021,0.00507456,2.694477157,0.024789233,0.372976805,0.238219306,0.0176544,0.534528389,0.027666667,3.11,0.29,0.78
1069,2,2.911164474,0.009989572,2.688720223,0.021521456,0.370752012,0.238226769,0.01516583,0.536787162,0.0405,3.11,0.24,0.79
1069,3,2.790195398,0.007795472,2.612340384,0.018934655,0.257383708,0.24568821,0.013599523,0.539358386,0.028166667,2.87,0.2,0.79
1070,1,3.091009131,0.008222518,2.748274437,0.016093203,0.42784476,0.256972924,0.01224787,0.462998585,0.037666667,3.22,0.32,0.73
1070,3,3.431514715,0.005643488,2.861282484,0.032044002,0.498737929,0.241683202,0.022267887,0.518359839,0.037666667,3.44,0.36,0.77
1071,2,3.569704411,0.012701341,3.102026837,0.013942388,0.464928622,0.267932585,0.009556583,0.495017926,0.042833333,3.64,0.28,0.78
1072,1,3.707517377,0.007704869,3.224015815,0.018153831,0.457379072,0.259024691,0.012030568,0.519118291,0.031333333,3.79,0.28,0.79
1072,2,3.433037466,0.009352495,2.938821021,0.019947138,0.506246335,0.236477606,0.0126875,0.546988048,0.036166667,3.61,0.29,0.8
1072,3,2.246283471,0.006239266,1.778485306,0.018815019,0.429940559,0.16988854,0.016103634,0.61137356,0.018,2.21,0.36,0.79
1073,1,2.841193999,0.009189383,2.477460942,0.01927034,0.368520754,0.234438491,0.014284762,0.522687846,0.0275,2.87,0.27,0.77
1073,2,3.244490271,0.012577775,2.819474729,0.015652829,0.516558204,0.246711415,0.009539488,0.496698573,0.046333333,3.46,0.29,0.76
1073,3,3.248138352,0.01268531,2.812478885,0.022045002,0.550025213,0.234397687,0.014744832,0.517085973,0.043833333,3.42,0.35,0.77
1074,1,2.934565993,0.007028528,2.341275452,0.024717171,0.47776408,0.192794674,0.018872904,0.591030737,0.0195,2.93,0.32,0.8
1074,2,3.609049529,0.005214806,2.806876764,0.020359476,0.480761378,0.227079345,0.014469976,0.559345866,0.0155,3.39,0.33,0.8
1074,3,3.48651816,0.007477663,2.883682202,0.018632056,0.440617962,0.235748194,0.014084572,0.555681878,0.021833333,3.42,0.31,0.8
1075,1,3.767737861,0.003329217,2.870853404,0.029186444,0.373843573,0.241879937,0.021935644,0.555393628,0.0235,3.3,0.24,0.81
1075,2,3.280102819,0.005050731,2.828820623,0.024276858,0.345574197,0.24320007,0.018248414,0.55649943,0.024833333,3.25,0.24,0.81
1075,3,4.127733362,0.008257393,3.65812683,0.01126126,0.442979797,0.298742737,0.007474421,0.466243452,0.039833333,4.22,0.32,0.77
1076,1,3.428192874,0.009226868,2.941783803,0.023506668,0.412719702,0.244422787,0.015752371,0.532255042,0.033666667,3.47,0.24,0.79
1076,2,2.983387353,0.005708175,2.526261235,0.020692615,0.396251168,0.228751141,0.015615587,0.543251127,0.025833333,2.96,0.32,0.78
1076,3,3.293246916,0.008274984,2.86923196,0.024253079,0.431558145,0.242810639,0.017656357,0.537980339,0.030333333,3.38,0.3,0.79
1077,1,3.315788555,0.014857045,3.153990836,0.01131261,0.404437303,0.279021879,0.008010676,0.47371713,0.047166667,3.59,0.29,0.76
1077,3,3.312841434,0.014466201,2.960314137,0.0104913,0.494266265,0.249648026,0.00725122,0.508229198,0.046,3.54,0.34,0.77
1078,1,3.108419953,0.012323688,2.740489807,0.015133288,0.475013926,0.231210197,0.010508534,0.537689959,0.0405,3.28,0.31,0.78
1079,1,3.695949165,0.006429676,3.172691135,0.018632077,0.393826151,0.284430698,0.01202079,0.447385403,0.032333333,3.68,0.26,0.74
1079,2,3.580802074,0.007520576,3.166104411,0.018108048,0.491127198,0.268758243,0.012048421,0.477283979,0.0435,3.75,0.33,0.76
