Plot,Repeat,leaf_width
1311,2,8.2
1311,3,8.6
1312,1,10.8
1312,2,9.9
1312,3,9.9
1313,1,10
1313,2,10.5
1313,3,10.4
1314,1,10.1
1314,2,10.4
1314,3,10.7
1315,1,8.3
1315,2,9.4
1315,3,10.1
1316,1,8.8
1316,2,9.4
1316,3,7.7
1317,1,9.2
1317,2,7.7
1317,3,10.6
1318,1,10
1318,2,12.4
1318,3,11.9
1319,1,10.3
1319,2,9.4
1319,3,9.3
1320,1,10.2
1320,2,10.3
1320,3,10.3
2001,1,10
2001,2,9.3
2001,3,6.6
2002,1,10.2
2002,2,9.6
2002,3,10.3
2003,1,9.6
2003,2,9.4
2003,3,9.7
2004,1,9.2
2004,2,10.5
2004,3,10.2
2005,1,9.4
2005,2,9.5
2005,3,9.9
2006,1,10.1
2006,2,9.1
2006,3,8.4
2007,1,7
2007,2,8.8
2007,3,7.5
2008,1,9
2008,2,9.4
2008,3,9.9
2009,1,7.7
2009,2,7.9
2009,3,7.2
2010,1,6.8
2010,2,6.5
2010,3,7.3
2011,1,9.7
2011,2,8.6
2012,1,9.1
2012,2,6.8
2012,3,8.2
2013,1,7.2
2013,2,7.4
2013,3,7.1
2014,1,7.5
2014,2,7.5
2014,3,8.2
2015,1,7.4
2015,2,7.2
2015,3,7.3
2016,1,8.5
2016,2,8.8
2016,3,9.4
2017,1,9.5
2017,2,8
2017,3,7.7
2018,1,8
2018,2,8.4
2018,3,7.9
2019,1,8.8
2019,2,9.7
2019,3,9.3
2020,1,9.8
2020,2,10.1
2020,3,9.7
2021,1,7.7
2021,2,7.8
2021,3,7.5
2022,1,7.8
2022,2,8.1
2022,3,8.9
2023,1,7.9
2023,2,6.7
2023,3,8
2024,1,7.6
2024,2,7.1
2024,3,8.2
2025,1,8.1
2025,2,8.4
2025,3,7.8
2026,1,9
2026,2,9.5
2026,3,9.4
2027,1,10.1
2027,2,8.5
2027,3,9.5
2028,1,6.2
2028,2,7
2028,3,6.1
2029,1,8.6
2029,2,9
2029,3,8
2030,1,8.8
2030,2,6.4
2030,3,10.8
2031,1,10.5
2031,2,10.1
2031,3,11.2
2032,1,11.9
2032,2,10.6
2032,3,11.3
2033,1,7.8
2033,2,10.6
2033,3,10
2034,1,7.5
2034,2,8.2
2034,3,8.2
2035,1,8
2035,2,9.9
2035,3,10.5
2036,1,8.6
2036,2,8.5
2036,3,7.7
2037,1,9.3
2037,2,9
2037,3,8.9
2038,1,8.8
2038,2,8.1
2038,3,8.8
2039,1,8.7
2039,2,10
2039,3,8.3
2040,1,6.9
2040,2,6.1
2040,3,6.7
2041,1,9.2
2041,2,8.8
2041,3,9.7
2042,1,8
2042,2,8.2
2042,3,8.4
2043,1,8.4
2043,2,8.8
2043,3,8.8
2044,1,8.6
2044,2,8.6
2044,3,8.3
2045,1,10.9
2045,2,11.2
2045,3,10.3
2047,1,9.7
2047,2,9.9
2047,3,9
2048,1,11.4
2048,2,9.7
2048,3,10.3
2049,1,8.2
2049,2,7.9
2049,3,7.1
2050,1,6.6
2050,2,9.2
2050,3,10.4
2051,1,9.7
2051,2,8.7
2051,3,10.2
2052,1,10.5
2052,2,9.9
2052,3,9.3
2053,1,10.1
2053,2,11.6
2053,3,11.6
2054,1,8.4
2054,2,8.7
2054,3,8
2055,1,7.5
2055,2,9.7
2055,3,9.5
2056,1,7.2
2056,2,7.2
2056,3,6.6
2057,1,9.2
2057,2,9.4
2057,3,7.2
2058,1,8.6
2058,2,8.3
2058,3,8.8
2059,1,9.3
2059,2,9.5
2059,3,10.7
2060,1,9
2060,2,8.5
2060,3,8.6
2061,1,10
2061,2,11.5
2061,3,11.6
2062,1,9.6
2062,2,10.2
2062,3,11.7
2063,1,7.2
2063,2,6.2
2063,3,7.3
2064,1,9.3
2064,2,7.4
2064,3,7.5
2065,1,8.5
2065,2,8
2065,3,8.5
2066,1,9.3
2066,2,9.8
2066,3,10.2
2067,1,9.2
2067,2,7.9
2067,3,9.1
2068,1,9.8
2068,2,9.5
2068,3,10.3
2070,1,8.7
2070,2,8.7
2070,3,8.5
2071,1,8.6
2071,2,9.8
2071,3,9.2
2072,1,6.2
2072,2,6.3
2072,3,7.4
2073,1,9.8
2073,2,10.2
2073,3,9.6
2074,1,8.7
2074,2,7.9
2074,3,8
2075,1,9.5
2075,2,8.6
2075,3,9.6
2076,1,10.5
2076,2,10.8
2076,3,10
2077,1,6.6
2077,2,6.9
2077,3,6.8
2078,1,9.4
2078,2,9.2
2078,3,9.2
2079,1,7.3
2079,2,6.5
2079,3,6.7
2080,1,9
2080,2,7.6
2080,3,8.3
2081,1,8.3
2081,2,11.1
2081,3,8.7
2082,1,10.1
2082,2,10.3
2082,3,9.7
2083,1,8.7
2083,2,9.4
2083,3,7.9
2084,1,11.4
2084,2,10.6
2084,3,10.8
2085,1,9.2
2085,2,7.9
2085,3,9.7
2086,1,8.1
2086,2,9.1
2086,3,9.3
2087,1,9.8
2087,2,10.3
2087,3,11
2088,1,7.3
2088,2,6.4
2088,3,6.9
2089,1,9.3
2089,2,9.8
2089,3,9.2
2090,1,8.5
2090,2,8.7
2090,3,8.4
2091,1,9.4
2091,2,7.3
2092,1,8
2092,2,8.5
2092,3,9.4
2093,1,9.1
2093,2,8.7
2093,3,8.9
2094,1,7
2094,2,9.1
2094,3,7.6
2095,1,7.1
2095,2,6
2095,3,7.2
2096,1,7.1
2096,2,7.8
2096,3,8.1
2097,1,9.5
2097,2,9
2097,3,11.7
2098,1,9.4
2098,2,8.4
2098,3,9.2
2099,1,8.6
2099,2,8.7
2099,3,10
2100,1,12.6
2100,2,11
2100,3,10.1
2101,1,9.5
2101,2,9.6
2101,3,9.3
2102,1,8.3
2102,2,10
2102,3,10.1
