PlotID,Repeat,C,N,CN,d13C,d15N
1077,2,43.10,3.59,12.00893614,-17.24,2.55
1077,3,42.73,3.68,11.62431525,-17.22,2.66
1078,1,44.73,2.41,18.56835013,-15.95,1.17
1078,2,43.99,2.48,17.70952732,-15.79,1.70
1078,3,42.31,2.37,17.83415432,-16.06,1.40
1079,1,46.02,2.70,17.06479719,-15.77,1.83
1079,2,46.40,2.35,19.75736948,-15.91,1.57
1079,3,46.21,2.82,16.39815831,-15.93,1.67
1080,1,,,,,
1080,2,,,,,
1080,3,,,,,
1080,Pooled,42.86,3.13,13.70988549,-15.90,1.28
1081,1,42.63,3.48,12.24781404,-17.19,2.52
1081,2,43.63,3.53,12.35481908,-17.25,2.17
1081,3,43.53,3.73,11.66064023,-17.16,0.17
1082,Pooled,45.72,2.87,15.91229069,-15.55,-0.33
1083,Pooled,45.59,2.14,21.30208924,-15.49,1.90
1084,Pooled,43.49,3.57,12.19274681,-15.92,0.12
1085,1,42.97,1.72,24.98562416,-15.61,2.94
1085,2,43.09,2.39,18.04391044,-15.90,2.63
1085,3,44.02,2.17,20.29879878,-15.84,1.06
1086,Pooled,42.80,2.32,18.41649018,-15.46,1.55
1087,Pooled,45.15,3.39,13.32410442,-15.77,0.60
1088,1,43.59,2.73,15.9939381,-15.41,3.39
1088,2,42.60,2.93,14.52552607,-15.59,2.18
1088,3,41.28,2.79,14.79742294,-15.58,2.14
1089,Pooled,44.21,2.90,15.27184035,-15.55,1.67
1090,1,44.30,3.58,12.3760344,-16.25,2.35
1090,2,45.01,3.83,11.76057896,-15.78,0.79
1090,3,42.48,3.45,12.32156646,-16.48,2.69
1091,Pooled,47.08,3.74,12.58100882,-15.93,1.85
1092,Pooled,44.77,2.13,21.05007837,-15.84,0.68
1093,1,43.75,3.45,12.6656244,-16.02,2.08
1093,2,43.78,3.26,13.41234686,-16.14,1.92
1093,3,43.66,3.31,13.17334784,-15.77,1.98
1094,Pooled,45.34,2.86,15.8613357,-15.49,2.01
1095,1,44.41,3.60,12.33025402,-16.27,2.92
1095,2,44.25,2.46,18.00312776,-15.84,1.60
1095,3,44.13,2.88,15.35001043,-15.87,3.54
1096,1,44.50,2.50,17.81773961,-16.08,3.41
1096,2,43.67,2.61,16.70536282,-16.08,2.28
1096,3,43.62,2.56,17.03543722,-16.23,2.51
1097,Pooled,42.76,2.55,16.76675264,-15.50,1.72
1098,Pooled,46.47,3.14,14.78738484,-15.64,0.98
1099,Pooled,46.51,3.59,12.9542158,-16.12,3.26
1100,1,40.09,2.66,15.05063341,-15.64,1.48
1100,2,42.64,2.96,14.42422474,-15.46,0.74
1100,3,42.80,3.21,13.3286643,-15.70,2.30
1101,1,43.29,3.25,13.32387189,-15.89,-0.38
1101,2,39.80,2.80,14.22621915,-15.60,2.87
1101,3,43.43,3.11,13.98280986,-15.51,3.20
1101,Pooled,42.84,2.41,17.78843235,-15.88,0.49
1102,Pooled,45.93,3.52,13.05479611,-16.09,3.00
1103,Pooled,53.98,3.15,17.12698385,-15.88,0.83
1104,Pooled,44.45,3.31,13.42586058,-15.47,1.47
1105,Pooled,44.94,2.98,15.07258459,-15.22,0.45
1106,1,43.83,3.15,13.90666856,-15.94,-0.47
1106,2,42.36,2.23,18.98596564,-15.48,-0.09
1106,3,42.65,2.70,15.79617942,-15.67,-1.04
1107,Pooled,42.78,3.24,13.2160344,-15.95,1.65
1108,1,44.44,3.35,13.24644034,-16.15,1.06
1108,2,43.35,2.95,14.68531085,-16.64,1.00
1108,3,44.94,2.90,15.48269018,-15.87,1.79
1109,Pooled,45.74,3.25,14.05540788,-16.09,1.90
1110,1,43.60,2.20,19.85309484,-15.85,3.17
1110,2,44.67,2.87,15.59030016,-15.83,2.72
1110,3,43.43,2.12,20.43969722,-15.67,1.76
1111,1,46.34,3.19,14.50819575,-15.64,1.39
1111,2,45.93,3.30,13.91960765,-15.73,1.33
1111,3,38.40,2.21,17.38481882,-15.62,1.13
1112,Pooled,42.97,2.81,15.29406438,-15.81,3.92
1113,1,43.06,3.51,12.26438636,-17.26,4.61
1113,2,42.87,3.70,11.58065879,-17.47,5.70
1113,3,42.47,3.87,10.96625261,-17.50,5.44
1114,1,42.30,2.94,14.39969041,-16.42,0.91
1114,2,43.44,3.07,14.16362175,-16.52,1.17
1114,3,43.78,2.60,16.87097574,-16.44,1.48
1115,Pooled,44.44,2.72,16.32256994,-15.95,2.38
1116,Pooled,44.35,2.51,17.66406636,-15.84,1.24
1117,1,44.22,3.07,14.39361264,-16.40,2.17
1117,2,,,,,
1117,3,50.66,3.38,14.99033836,-16.40,0.45
1118,Pooled,46.63,3.71,12.58200991,-16.14,2.31
1119,Pooled,45.34,2.78,16.31939112,-15.57,-0.29
1120,Pooled,47.46,4.05,11.71020272,-16.01,2.04
1121,Pooled,42.86,3.51,12.19672602,-15.18,1.60
1122,1,43.72,2.92,14.9908547,-15.87,0.88
1122,2,45.63,3.11,14.65866189,-15.81,-0.61
1122,3,43.66,2.84,15.39208086,-15.82,0.11
1123,Pooled,43.34,3.68,11.79154294,-16.01,1.30
1124,Pooled,45.41,2.55,17.8300483,-16.19,0.43
1125,Pooled,46.45,2.93,15.85099891,-15.96,2.67
1126,Pooled,46.29,2.23,20.7436979,-16.18,2.93
1127,Pooled,45.29,3.06,14.82573516,-15.73,1.33
1128,1,44.09,3.50,12.59765027,-17.04,3.70
1128,2,43.22,2.99,14.46179638,-16.68,3.86
1128,3,43.57,3.89,11.19297714,-17.06,3.17
1129,1,43.60,3.02,14.41695801,-16.30,1.48
