Plot,Repeat,Area
2042,1,5.50
2041,1,7.51
2041,2,7.70
2041,3,4.71
2040,1,2.39
2040,3,9.37
2040,2,8.07
2039,2,4.66
2039,1,5.11
2039,3,4.01
2038,3,8.26
2038,2,8.95
2038,1,10.45
2036,3,9.37
2036,2,14.20
2036,1,7.96
2035,2,
2035,3,7.98
2035,1,4.58
2034,3,7.91
2034,2,3.28
2034,1,5.06
2033,1,5.91
2033,2,6.05
2033,3,6.63
2032,1,15.00
2032,2,15.92
2032,3,12.62
2031,2,7.71
2031,3,8.43
2031,1,7.27
2030,3,
2030,2,11.60
2030,1,11.28
2028,3,9.98
2028,2,13.31
2028,1,10.43
2027,3,5.29
2027,2,4.87
2027,1,4.68
2026,3,5.67
2026,2,5.75
2026,1,6.26
2025,2,14.56
2025,3,13.18
2025,1,13.96
2024,3,4.57
2024,1,4.03
2024,2,3.15
2023,3,3.76
2023,1,5.18
2023,2,4.64
2022,3,8.06
2022,2,7.46
2022,1,8.88
2020,1,15.41
2020,3,12.36
2020,2,8.73
2019,3,6.60
2019,1,7.71
2019,2,7.66
2018,3,7.71
2018,1,6.32
2018,2,10.10
2017,2,9.28
2017,3,9.10
2017,1,10.58
2016,2,8.90
2016,3,11.71
2016,1,10.71
2015,2,7.86
2015,3,7.86
2015,1,8.15
2014,1,8.57
2014,2,8.20
2014,3,10.49
2013,2,5.60
2013,3,8.87
2013,1,6.79
2012,3,
2012,1,4.33
2012,2,2.56
2011,2,6.09
2011,1,5.18
2011,3,6.31
2010,3,3.42
2010,1,1.89
2009,3,8.01
2009,2,10.68
2009,1,10.89
2008,3,5.11
2008,1,4.69
2008,2,2.66
2007,1,3.50
2007,3,5.62
2007,2,4.37
2006,1,13.37
2006,2,10.90
2006,3,11.89
2005,3,6.33
2005,2,7.14
2005,1,8.81
2004,1,7.27
2003,1,3.24
2003,2,7.10
2003,3,4.47
2002,2,
2002,3,
2002,1,6.37
2001,2,
2001,1,7.81
2001,3,5.30
1272,3,6.81
1272,1,9.96
1272,2,7.30
1271,3,7.40
1271,1,11.15
1271,2,7.14
1270,3,12.97
1270,2,9.93
1270,1,12.72
1269,3,11.03
1269,2,8.47
1269,1,10.00
1268,3,
1268,1,13.10
1268,2,7.67
1267,2,7.28
1267,3,8.13
1267,1,7.97
1266,1,6.91
1266,2,7.56
1266,3,3.21
1264,3,8.80
1264,2,6.10
1264,1,4.83
1263,3,21.78
1263,1,5.68
1263,2,10.92
1262,3,6.58
1262,1,8.12
1262,2,11.51
1261,2,9.83
1261,3,8.69
1261,1,4.79
1260,3,12.94
1260,1,8.34
1260,2,7.90
1259,2,6.13
1259,3,12.61
1259,1,8.21
1257,3,14.90
1257,2,9.78
1257,1,11.42
1256,1,12.99
1256,2,14.58
1256,3,7.48
1255,2,7.99
1255,1,8.98
1255,3,9.42
1254,3,13.16
1254,1,13.10
1254,2,14.67
1253,1,5.47
1253,2,8.13
1253,3,7.86
1252,3,2.47
1252,1,2.46
1252,2,2.35
1251,3,6.85
1251,2,7.48
1251,1,9.12
1250,1,7.00
1250,2,5.92
1250,3,3.74
1249,3,14.43
1249,1,7.67
1249,2,12.85
1248,2,11.08
1248,1,3.61
1248,3,8.91
1247,1,14.37
1247,2,13.79
1247,3,8.38
1246,1,13.46
1246,3,10.93
1246,2,5.10
1245,2,6.02
1245,3,4.03
1245,1,3.70
1244,1,5.46
1244,2,2.46
1244,3,3.52
1243,3,12.18
1243,1,17.11
1243,2,12.15
1242,2,13.50
1242,3,11.10
1242,1,11.07
1240,2,
1240,1,3.98
1240,3,4.04
1239,2,10.35
1239,3,15.73
1239,1,11.63
1238,3,3.51
1238,1,9.28
1238,2,4.97
1237,2,NA
1237,3,5.49
1237,1,2.26
1236,2,6.93
1236,1,6.04
1236,3,5.60
1235,3,2.69
1235,1,4.31
1235,2,2.82
1234,1,10.08
1234,3,7.82
1232,3,7.45
1232,1,6.18
1232,2,5.24
1231,2,13.21
1231,1,11.58
1231,3,10.59
1230,3,8.44
1230,2,13.96
1230,1,17.85
1229,1,6.41
1229,2,5.33
1229,3,7.84
1228,3,3.83
1228,2,2.53
1227,1,10.12
1227,2,5.34
1227,3,5.62
1226,2,8.08
1226,1,7.62
1226,3,7.23
1225,3,12.17
1225,1,12.60
1225,2,10.01
1224,1,9.59
1224,3,4.57
1224,2,9.57
1223,1,9.70
1223,3,4.64
1223,2,3.42
1222,2,12.26
