Plot,Repeat,Vpmax,Vmax,SL,a400,gsw,Vpmax.Vmax,iWUE
1060,1,54.68671514,36.13612762,0.105912607,30.22958058,0.276589363,0.660784388,109.2940823
1060,2,56.89566812,37.36040809,0.112178335,30.94038214,0.278532057,0.656647673,111.0837385
1060,3,76.04629816,38.46616242,0.151525258,31.5853453,0.232113741,0.505825574,136.0770162
1061,1,82.62475461,42.81458219,0.100939336,36.8047908,0.315934308,0.518181051,116.4950746
1061,2,22.20539191,18.12974645,0.182178922,12.81710462,0.119352059,0.816456946,107.3890534
1061,3,53.25415699,39.00078344,0.104136512,31.82143405,0.307970911,0.732351907,103.326103
1067,1,78.84042126,49.91020188,0.221742002,36.76215732,0.286653173,0.633053465,128.2461202
1067,2,109.339354,32.33891511,0.08137245,29.28147826,0.179570737,0.295766473,163.0637523
1067,3,82.14698783,32.47617448,0.065999302,29.62095715,0.196072687,0.395342244,151.0713072
1068,2,42.96364714,24.68290381,0.251952094,17.07984124,0.099425353,0.574506715,171.7855724
1070,3,32.13293458,21.78464086,0.137635016,16.90944148,0.138363132,0.677953668,122.2106006
1075,2,81.4329052,38.49680714,0.129662569,32.61758563,0.213953181,0.472742647,152.4519778
1076,1,78.92825104,29.86075831,0.174978386,23.93930832,0.141710284,0.378327885,168.931341
1076,2,83.94687969,37.78558931,0.140020386,31.5945242,0.212793882,0.450113089,148.4747774
1076,3,108.5888703,43.49520036,0.111121229,37.85749409,0.258152629,0.40054934,146.6477187
1077,1,69.14251358,33.03766004,0.136800066,27.71103838,0.192320857,0.477819772,144.087536
1077,2,58.47615015,35.80131554,0.049619167,32.53852523,0.314265747,0.612237903,103.5382491
1077,3,36.0818937,24.10553203,0.093512185,19.8359586,0.159036932,0.668078351,124.7254854
1081,2,81.46940657,40.93064362,0.472178834,21.18585082,0.108413133,0.502405079,195.4177529
1083,1,50.74459271,33.37115714,0.219027876,23.76434524,0.163568113,0.657629815,145.2871518
1083,2,58.51128622,36.24021687,0.169718775,28.27089509,0.209459188,0.619371393,134.9708999
1085,1,68.82826474,34.84929169,0.26800907,24.65317561,0.145552468,0.506322393,169.3765551
1085,2,93.23325144,53.54480063,0.272128617,36.06843895,0.234839116,0.574310129,153.5878671
1085,3,81.38224873,44.74229163,0.200231278,33.9079428,0.232644839,0.549779495,145.7498175
1086,2,41.51226181,40.14246078,0.479646553,17.12694332,0.107936852,0.967002496,158.6755872
1093,1,61.73496904,32.53642317,0.078297701,28.5608947,0.226766907,0.527033927,125.948248
