Plot,Repeat,SLA
1098,1,127.8756477
1098,2,112.6940639
1098,3,127.8756477
1099,1,118.0861244
1099,2,124.0201005
1099,3,115.8685446
1100,1,126.5641026
1100,2,143.4883721
1100,3,159.2258065
1101,1,135.6043956
1101,2,141.8390805
1101,3,169.0410959
1103,1,114.7906977
1103,2,135.6043956
1103,3,124.0201005
1104,1,136.3535912
1104,2,169.0410959
1104,3,128.5416667
1105,1,132.688172
1105,2,122.7860697
1105,3,120.3902439
1107,1,99.51612903
1107,2,124.6464646
1107,3,93.48484848
1108,1,126.5641026
1108,2,119.8058252
1108,3,129.2146597
1109,1,147.7844311
1109,2,111.1711712
1109,3,107.7729258
1110,1,109.6888889
1110,2,112.1818182
1110,3,98.72
1111,1,127.2164948
1111,2,162.3684211
1111,3,162.3684211
1112,1,118.6538462
1112,2,122.1782178
1112,3,161.3071895
1113,1,149.5757576
1113,2,161.3071895
1113,3,149.5757576
1114,1,115.8685446
1114,2,135.6043956
1114,3,118.6538462
1115,1,119.2270531
1115,2,143.4883721
1115,3,154.25
1116,1,127.2164948
1116,2,139.4350282
1116,3,129.2146597
1117,1,98.32669323
1117,2,162.3684211
1117,3,156.2025316
1118,1,121.5763547
1118,2,127.2164948
1118,3,116.4150943
1119,1,147.7844311
1119,2,170.2068966
1119,3,125.9183673
1120,1,111.6742081
1120,2,100.7346939
1120,3,115.3271028
1121,1,119.2270531
1121,2,122.1782178
1121,3,132.688172
1122,1,158.2051282
1122,2,159.2258065
1122,3,133.4054054
1123,1,98.72
1123,2,107.3043478
1123,3,116.9668246
1124,1,115.3271028
1124,2,108.245614
1124,3,103.697479
1125,1,127.2164948
1125,2,127.2164948
1125,3,137.877095
1126,1,109.2035398
1126,2,116.9668246
1126,3,131.2765957
1127,1,107.3043478
1127,2,97.54940711
1127,3,108.245614
1129,1,141.0285714
1129,2,124.6464646
1129,3,146.9047619
1130,1,98.32669323
1130,2,101.9834711
1130,3,114.2592593
1131,1,119.2270531
1131,2,104.1350211
1131,3,109.2035398
1132,1,120.3902439
1132,2,125.9183673
1132,3,116.4150943
1133,1,102.8333333
1133,2,123.4
1133,3,125.2791878
1134,1,110.6726457
1134,2,131.9786096
1134,3,101.9834711
1135,1,126.5641026
1135,2,109.6888889
1135,3,120.3902439
1136,1,122.7860697
1136,2,144.3274854
1136,3,129.8947368
1137,1,107.7729258
1137,2,108.245614
1137,3,119.2270531
1138,1,111.6742081
1138,2,114.7906977
1138,3,134.1304348
1140,1,114.2592593
1140,2,115.8685446
1140,3,105.4700855
1141,1,133.4054054
1141,2,118.0861244
1141,3,119.2270531
1142,1,129.8947368
1142,2,138.6516854
1142,3,119.8058252
1143,1,132.688172
1143,2,121.5763547
1143,3,135.6043956
1144,1,125.2791878
1144,2,113.7327189
1144,3,105.4700855
1145,1,125.2791878
1145,2,127.2164948
1145,3,118.6538462
1146,1,108.722467
1146,2,101.147541
1146,3,125.2791878
1147,1,125.2791878
1147,2,148.6746988
1147,3,134.1304348
1148,1,127.2164948
1148,2,147.7844311
1148,3,124.6464646
1149,1,129.2146597
1149,2,139.4350282
1149,3,104.1350211
1150,1,116.9668246
1150,2,159.2258065
1150,3,125.2791878
1151,1,108.245614
1151,2,129.2146597
1151,3,117.5238095
1152,1,113.2110092
1152,2,118.6538462
1152,3,119.8058252
1153,1,112.6940639
1153,2,118.6538462
1153,3,122.7860697
1154,1,120.3902439
1154,2,159.2258065
1154,3,129.2146597
1155,1,119.8058252
1155,2,139.4350282
1155,3,150.4878049
1156,1,125.2791878
1156,2,111.6742081
1156,3,98.72
1157,1,140.2272727
1157,2,112.1818182
1157,3,121.5763547
1158,1,97.93650794
1158,2,127.8756477
1158,3,134.1304348
1159,1,114.2592593
1159,2,116.9668246
1159,3,137.1111111
1160,1,121.5763547
1160,2,119.2270531
1160,3,120.3902439
1161,1,112.1818182
1161,2,124.6464646
1161,3,125.9183673
1162,1,132.688172
1162,2,119.2270531
1162,3,143.4883721
1163,1,148.6746988
1163,2,142.6589595
1165,1,111.1711712
1165,2,125.2791878
1165,3,113.7327189
1166,1,99.11646586
1166,2,123.4
1166,3,166.7567568
1167,1,87.82918149
1167,2,106.3793103
1167,3,91.40740741
1168,1,106.3793103
1168,2,94.19847328
1169,1,134.1304348
1169,2,122.7860697
1169,3,116.4150943
1170,1,137.877095
1170,2,122.7860697
1170,3,140.2272727
1171,1,137.1111111
1171,2,131.2765957
1171,3,127.2164948
1172,1,104.1350211
1172,2,111.1711712
1172,3,103.2635983
1173,1,116.9668246
1173,2,153.2919255
1173,3,110.6726457
1174,1,119.2270531
1174,2,146.035503
1174,3,121.5763547
1175,1,97.16535433
1175,2,117.5238095
1175,3,117.5238095
1176,1,147.7844311
1176,2,139.4350282
1176,3,118.6538462
1177,1,136.3535912
1177,2,105.4700855
1177,3,155.2201258
1178,1,116.4150943
1178,2,134.863388
1178,3,114.2592593
1179,1,124.0201005
1179,2,131.9786096
1179,3,143.4883721
1180,1,108.245614
1180,2,117.5238095
1180,3,105.9227468
1181,1,104.4656085
1181,2,141.8390805
1181,3,163.4437086
1182,1,72.16374269
1182,2,81.45214521
1182,3,76.8847352
1183,1,130.5820106
1183,2,120.9803922
1183,3,142.6589595
1184,1,126.5641026
1184,2,116.9668246
1184,3,137.1111111
1185,1,93.84030418
1185,2,116.9668246
1185,3,114.7906977
1186,1,99.91902834
1186,2,119.2270531
1186,3,136.3535912
1187,1,112.6940639
1187,2,127.8756477
1187,3,118.0861244
1188,1,138.6516854
1188,2,93.13207547
1188,3,133.4054054
1189,1,172.5874126
1189,2,131.2765957
1189,3,122.7860697
1190,1,126.5641026
1190,2,128.5416667
1190,3,122.1782178
1191,1,115.8685446
1191,2,154.25
1191,3,115.3271028
1192,1,124.0201005
1192,2,123.4
1192,3,127.2164948
1193,1,142.6589595
1193,2,152.345679
1193,3,141.8390805
1194,1,137.1111111
1194,2,131.2765957
1194,3,126.5641026
1195,1,141.0285714
1195,2,161.3071895
1195,3,118.0861244
1196,1,111.6742081
1196,2,114.7906977
1196,3,112.1818182
1197,1,141.0285714
1197,2,129.2146597
1197,3,173.8028169
1198,1,108.245614
1198,2,104.1350211
1198,3,117.5238095
1199,1,129.2146597
1199,2,126.5641026
1199,3,124.6464646
1200,1,122.7860697
1200,2,137.1111111
1200,3,146.9047619
1201,1,105.9227468
1201,2,133.4054054
1201,3,126.5641026
1202,1,97.16535433
1202,2,97.16535433
1202,3,79.1025641
1203,1,116.4150943
1203,2,114.7906977
1203,3,102.406639
1204,1,94.19847328
1204,2,122.7860697
1204,3,125.9183673
1205,1,124.6464646
1205,2,119.2270531
1205,3,108.245614
1206,1,110.1785714
1206,2,93.13207547
1206,3,98.72
1207,1,135.6043956
1207,2,106.3793103
1207,3,126.5641026
1208,1,120.3902439
1208,2,120.3902439
1208,3,124.6464646
1209,1,143.4883721
1209,2,152.345679
1209,3,151.4110429
1210,1,111.1711712
1210,2,158.2051282
1210,3,102.406639
1211,1,126.5641026
1211,2,128.5416667
1211,3,124.6464646
1212,1,132.688172
1212,2,131.9786096
1212,3,106.8398268
1213,1,109.6888889
1213,2,105.4700855
1213,3,118.0861244
1214,1,99.91902834
1214,2,112.1818182
1214,3,132.688172
1215,1,124.6464646
1215,2,114.7906977
1215,3,126.5641026
1216,1,124.6464646
1216,2,123.4
1216,3,124.0201005
1217,1,113.2110092
1217,2,124.6464646
1217,3,112.6940639
1218,1,158.2051282
1218,2,135.6043956
1218,3,185.5639098
1220,1,135.6043956
1220,2,137.1111111
1220,3,128.5416667
1221,1,149.5757576
1221,2,100.7346939
1221,3,141.8390805
1222,1,116.9668246
1222,2,123.4
1222,3,127.2164948
1223,1,142.6589595
1223,2,140.2272727
1223,3,138.6516854
1224,1,146.035503
1224,2,134.863388
1224,3,137.877095
1225,1,120.3902439
1225,2,98.32669323
1225,3,109.6888889
1226,1,114.2592593
1226,2,141.8390805
1226,3,131.9786096
1227,1,116.9668246
1227,2,154.25
1227,3,148.6746988
1228,1,101.9834711
1228,2,97.93650794
1228,3,139.4350282
1229,1,118.6538462
1229,2,101.9834711
1229,3,123.4
1230,1,123.4
1230,2,137.1111111
1230,3,131.9786096
1231,1,129.2146597
1231,2,120.9803922
1231,3,122.1782178
1232,1,109.2035398
1232,2,114.2592593
1232,3,110.6726457
1233,1,107.3043478
1233,2,107.7729258
1233,3,88.77697842
1234,1,131.2765957
1234,2,101.9834711
1234,3,120.9803922
1235,1,146.9047619
1235,2,135.6043956
1235,3,141.0285714
1236,1,96.0311284
1236,2,114.7906977
1236,3,95.65891473
1237,1,142.6589595
1237,2,115.3271028
1237,3,114.7906977
1238,1,114.2592593
1238,2,119.2270531
1238,3,135.6043956
1239,1,117.5238095
1239,2,113.2110092
1239,3,108.722467
1240,1,154.25
1240,2,128.5416667
1240,3,141.0285714
1241,1,149.5757576
1241,2,137.1111111
1241,3,188.3969466
1242,1,135.6043956
1242,2,138.6516854
1242,3,122.7860697
1243,1,111.6742081
1243,2,109.6888889
1243,3,126.5641026
1244,1,154.25
1244,2,151.4110429
1244,3,150.4878049
1245,1,138.6516854
1245,2,139.4350282
1245,3,147.7844311
1246,1,134.863388
1246,2,137.1111111
1246,3,112.1818182
1247,1,111.1711712
1247,2,122.1782178
1247,3,102.8333333
1248,1,112.6940639
1248,2,118.6538462
1248,3,124.6464646
1249,1,164.5333333
1249,2,122.1782178
1249,3,131.9786096
1250,1,128.5416667
1250,2,138.6516854
1250,3,134.1304348
1251,1,121.5763547
1251,2,147.7844311
1251,3,113.2110092
1252,1,124.0201005
1252,2,118.6538462
1252,3,116.9668246
1253,1,135.6043956
1253,2,125.2791878
1253,3,117.5238095
1254,1,135.6043956
1254,2,147.7844311
1254,3,137.877095
1255,1,137.1111111
1255,2,162.3684211
1255,3,137.1111111
1256,1,148.6746988
1256,2,134.1304348
1256,3,116.9668246
1257,1,116.4150943
1257,2,119.2270531
1257,3,123.4
1258,1,113.7327189
1258,2,136.3535912
1258,3,149.5757576
1259,1,125.9183673
1259,2,124.6464646
1259,3,138.6516854
1260,1,116.9668246
1260,2,116.4150943
1260,3,124.0201005
1261,1,97.16535433
1261,2,122.1782178
1261,3,101.563786
1262,1,123.4
1262,2,138.6516854
1262,3,144.3274854
1263,1,137.1111111
1263,2,125.9183673
1263,3,108.722467
1264,1,114.7906977
1264,2,108.722467
1264,3,99.51612903
1265,1,119.2270531
1265,2,112.6940639
1265,3,153.2919255
1266,1,132.688172
1266,2,147.7844311
1266,3,150.4878049
1267,1,112.1818182
1267,2,125.2791878
1267,3,125.2791878
1268,1,113.7327189
1268,2,93.48484848
1268,3,129.2146597
1269,1,125.9183673
1269,2,119.2270531
1269,3,126.5641026
1270,1,98.32669323
1270,2,99.51612903
1270,3,84.37606838
1271,1,123.4
1271,2,129.8947368
1271,3,153.2919255
1272,1,127.8756477
1272,2,123.4
1272,3,109.2035398
1273,1,157.1974522
1273,2,159.2258065
1273,3,100.3252033
1274,1,119.2270531
1274,2,120.9803922
1274,3,135.6043956
1275,1,110.6726457
1275,2,148.6746988
1275,3,155.2201258
1276,1,135.6043956
1276,2,144.3274854
1276,3,134.863388
1277,1,145.1764706
1277,2,124.0201005
1277,3,111.1711712
1278,1,124.6464646
1278,2,127.2164948
1278,3,110.1785714
1279,1,106.3793103
1279,2,149.5757576
1279,3,130.5820106
1280,1,130.5820106
1280,2,132.688172
1280,3,143.4883721
1281,1,124.6464646
1281,2,111.1711712
1281,3,120.9803922
1282,1,115.8685446
1282,2,131.9786096
1282,3,124.0201005
1283,1,153.2919255
1283,2,133.4054054
1283,3,157.1974522
1284,1,131.2765957
1284,2,120.3902439
1284,3,112.6940639
1285,1,106.8398268
1285,2,108.245614
1285,3,113.2110092
1286,1,108.245614
1286,2,117.5238095
1286,3,97.93650794
1287,1,88.77697842
1287,2,120.3902439
1287,3,102.406639
1288,1,95.65891473
1288,2,96.40625
1288,3,94.55938697
1289,1,128.5416667
1289,2,141.8390805
1289,3,109.6888889
1290,1,144.3274854
1290,2,180.1459854
1290,3,166.7567568
1291,1,126.5641026
1291,2,154.25
1291,3,166.7567568
1292,1,139.4350282
1292,2,131.9786096
1292,3,116.9668246
1293,1,131.0442478
1293,2,124.0201005
1293,3,127.8756477
1294,1,147.7844311
1294,2,141.0285714
1294,3,104.5762712
1295,1,118.0861244
1295,2,127.2164948
1295,3,109.2035398
1296,1,112.6940639
1296,2,130.5820106
1297,1,144.3274854
1297,2,132.688172
1297,3,101.147541
1298,1,122.1782178
1298,2,120.3902439
1298,3,130.5820106
1299,1,124.0201005
1299,2,133.4054054
1299,3,117.5238095
1300,1,126.5641026
1300,2,150.4878049
1300,3,173.8028169
1301,1,129.8947368
1301,2,135.6043956
1301,3,137.877095
1302,1,101.147541
1302,2,113.2110092
1303,1,113.2110092
1303,2,142.6589595
1303,3,123.4
1304,1,114.7906977
1304,2,144.3274854
1304,3,110.1785714
1305,1,87.82918149
1305,2,140.2272727
1305,3,137.1111111
1306,1,164.5333333
1306,2,162.3684211
1306,3,148.6746988
1307,1,143.4883721
1307,2,154.25
1307,3,145.1764706
1308,1,120.9803922
1308,2,125.9183673
1308,3,139.4350282
1309,1,120.3902439
1309,2,113.2110092
1309,3,125.2791878
1310,1,134.863388
1310,2,117.5238095
1310,3,127.8756477
1311,1,170.2068966
1311,2,155.2201258
1311,3,155.2201258
1312,1,118.6538462
1312,2,121.5763547
1312,3,131.9786096
1313,1,157.1974522
1313,2,164.5333333
1313,3,150.4878049
1314,1,126.5641026
1314,2,134.1304348
1314,3,124.6464646
1315,1,131.2765957
1315,2,109.2035398
1315,3,125.9183673
1316,1,139.4350282
1316,2,106.3793103
1316,3,132.688172
1317,1,158.2051282
1317,2,146.035503
1317,3,124.6464646
1318,1,124.6464646
1318,2,116.4150943
1318,3,120.3902439
1319,1,112.1818182
1319,2,126.5641026
1319,3,125.9183673
1320,1,115.8685446
1320,2,124.0201005
1320,3,85.84347826
2001,1,102.8333333
2001,2,116.4150943
2001,3,109.6888889
2002,1,118.6538462
2002,2,129.2146597
2002,3,134.863388
2003,1,125.2791878
2003,2,128.5416667
2003,3,112.1818182
2004,1,122.7860697
2004,2,148.6746988
2004,3,137.1111111
2005,1,132.688172
2005,2,147.7844311
2005,3,112.1818182
2006,1,112.1818182
2006,2,108.245614
2006,3,124.0201005
2007,1,108.245614
2007,2,99.51612903
2007,3,115.8685446
2008,1,146.035503
2008,2,90.73529412
2008,3,137.1111111
2009,1,153.2919255
2009,2,164.5333333
2009,3,145.1764706
2010,1,118.0861244
2010,2,127.2164948
2010,3,137.877095
2011,1,108.245614
2011,2,145.1764706
2011,3,147.7844311
2012,1,137.1111111
2012,2,132.688172
2012,3,124.6464646
2013,1,120.9803922
2013,2,129.2146597
2013,3,110.1785714
2014,1,134.1304348
2014,2,131.9786096
2014,3,145.1764706
2015,1,149.5757576
2015,2,136.3535912
2015,3,166.7567568
2016,1,141.0285714
2016,2,141.0285714
2016,3,152.345679
2017,1,141.8390805
2017,2,153.2919255
2017,3,137.1111111
2018,1,133.4054054
2018,2,112.6940639
2018,3,123.4
2019,1,139.4350282
2019,2,136.3535912
2019,3,124.6464646
2020,1,114.2592593
2020,2,114.2592593
2020,3,123.4
2021,1,115.8685446
2021,2,109.2035398
2021,3,145.1764706
2022,1,114.2592593
2022,2,109.2035398
2022,3,107.3043478
2023,1,137.1111111
2023,2,130.5820106
2023,3,113.2110092
2024,1,120.9803922
2024,2,115.8685446
2024,3,126.5641026
2025,1,135.6043956
2025,3,142.6589595
2026,1,131.2765957
2026,2,200.6504065
2026,3,151.4110429
2027,1,171.3888889
2027,2,180.1459854
2027,3,156.2025316
2028,1,126.5641026
2028,2,119.2270531
2028,3,127.8756477
2029,1,125.9183673
2029,2,136.3535912
2029,3,130.5820106
2030,1,109.2035398
2030,2,97.54940711
2030,3,120.3902439
2031,1,124.6464646
2031,2,96.78431373
2031,3,115.8685446
2032,1,136.3535912
2032,2,124.0201005
2032,3,111.6742081
2033,1,125.9183673
2033,2,112.6940639
2033,3,131.2765957
2034,1,101.147541
2034,2,108.245614
2034,3,131.9786096
2035,1,131.2765957
2035,2,119.2270531
2035,3,124.0201005
2036,1,134.863388
2036,2,129.2146597
2037,1,141.0285714
2037,2,109.2035398
2037,3,137.877095
2038,1,105.0212766
2038,2,108.245614
2038,3,112.6940639
2039,1,141.8390805
2039,2,141.0285714
2039,3,129.8947368
2040,1,132.688172
2040,2,130.5820106
2040,3,153.2919255
2041,1,134.1304348
2041,2,145.1764706
2041,3,138.6516854
2042,1,103.697479
2042,2,122.7860697
2042,3,144.3274854
2043,1,121.5763547
2043,2,122.1782178
2043,3,107.7729258
2044,1,114.7906977
2044,2,111.6742081
2044,3,118.6538462
2045,1,137.877095
2045,2,131.9786096
2045,3,105.0212766
2046,1,118.6538462
2046,2,146.035503
2046,3,137.877095
2047,1,144.3274854
2047,2,146.035503
2047,3,147.7844311
2048,1,117.5238095
2048,2,123.4
2048,3,133.4054054
2049,1,124.0201005
2049,2,106.3793103
2049,3,141.0285714
2050,1,147.7844311
2050,2,128.5416667
2050,3,173.8028169
2051,1,146.035503
2051,2,111.1711712
2051,3,103.2635983
2052,1,142.6589595
2052,2,121.5763547
2052,3,132.688172
2053,1,99.11646586
2053,2,94.19847328
2053,3,97.16535433
2054,1,114.7906977
2054,2,159.2258065
2054,3,156.2025316
2055,1,108.722467
2055,2,90.73529412
2055,3,98.32669323
2056,1,107.7729258
2056,2,137.877095
2056,3,136.3535912
2057,1,99.91902834
2057,2,113.7327189
2057,3,113.7327189
2058,1,122.7860697
2058,2,106.3793103
2058,3,130.5820106
2059,1,145.1764706
2059,2,154.25
2059,3,131.2765957
2060,1,136.3535912
2060,2,133.4054054
2060,3,156.2025316
2061,1,132.688172
2061,2,126.5641026
2061,3,113.7327189
2062,1,138.6516854
2062,2,135.6043956
2062,3,164.5333333
2063,1,100.7346939
2063,2,103.2635983
2063,3,105.0212766
2064,1,134.1304348
2064,2,112.6940639
2064,3,122.1782178
2065,1,105.9227468
2065,2,120.9803922
2065,3,141.8390805
2066,1,109.6888889
2066,2,93.48484848
2066,3,92.43445693
2067,1,125.9183673
2067,2,119.8058252
2067,3,124.0201005
2068,1,119.8058252
2068,2,140.2272727
2068,3,125.9183673
2069,1,122.7860697
2069,2,137.1111111
2069,3,137.1111111
2070,1,100.7346939
2070,2,99.91902834
2070,3,128.5416667
2071,1,118.6538462
2071,2,137.877095
2071,3,146.035503
2072,1,139.4350282
2072,2,155.2201258
2072,3,144.3274854
2073,1,137.877095
2073,2,165.6375839
2073,3,153.2919255
2074,1,98.72
2074,2,117.5238095
2074,3,131.9786096
2075,1,115.3271028
2075,2,118.0861244
2075,3,116.9668246
2076,1,124.6464646
2076,2,124.6464646
2076,3,125.9183673
2077,1,126.5641026
2077,2,107.7729258
2077,3,129.8947368
2078,1,115.3271028
2078,2,108.245614
2078,3,110.6726457
2079,1,143.4883721
2079,2,160.2597403
2079,3,171.3888889
2080,1,95.28957529
2080,2,110.6726457
2080,3,122.7860697
2081,1,117.5238095
2081,2,112.1818182
2081,3,106.8398268
2082,1,152.345679
2082,2,107.7729258
2082,3,152.345679
2083,1,143.4883721
2083,2,109.6888889
2083,3,93.13207547
2084,1,105.4700855
2084,2,111.6742081
2084,3,109.6888889
2085,1,124.6464646
2085,2,115.3271028
2086,1,97.54940711
2086,2,110.1785714
2086,3,117.5238095
2087,1,134.863388
2087,2,116.9668246
2087,3,135.6043956
2088,1,141.8390805
2088,2,116.9668246
2088,3,106.3793103
2089,1,133.4054054
2089,2,136.3535912
2089,3,137.877095
2090,1,137.1111111
2090,2,122.7860697
2090,3,137.1111111
2091,1,104.5762712
2091,2,147.7844311
2091,3,137.1111111
2092,1,140.2272727
2092,2,117.5238095
2092,3,123.4
2093,1,129.2146597
2093,2,120.9803922
2093,3,137.1111111
2094,1,120.3902439
2094,2,127.2164948
2094,3,114.7906977
2095,1,103.697479
2095,2,107.7729258
2095,3,127.8756477
2096,1,138.6516854
2096,2,157.1974522
2096,3,154.25
2097,1,162.3684211
2097,2,120.3902439
2097,3,127.8756477
2098,1,115.3271028
2098,2,99.51612903
2098,3,119.8058252
2100,1,125.2791878
2100,2,150.4878049
2100,3,127.2164948
2101,1,141.0285714
2101,2,134.1304348
2101,3,165.6375839
2102,1,93.13207547
2102,2,94.19847328
2102,3,99.11646586
2103,1,154.25
2103,2,146.9047619
2103,3,139.4350282
2104,1,135.6043956
2104,2,147.7844311
2104,3,131.9786096
2105,1,138.6516854
2105,2,133.4054054
2105,3,148.6746988
2106,1,146.9047619
2106,2,135.6043956
2106,3,165.6375839
2107,1,133.4054054
2107,2,126.5641026
2107,3,162.3684211
2108,1,120.3902439
2108,2,109.6888889
2108,3,119.2270531
2109,1,121.5763547
2109,2,127.2164948
2109,3,112.1818182
2110,1,112.1818182
2110,2,115.3271028
2110,3,115.8685446
2111,1,106.3793103
2111,2,134.863388
2111,3,119.8058252
2112,1,150.4878049
2112,2,131.2765957
2112,3,153.2919255
2113,1,162.3684211
2113,2,141.0285714
2114,1,107.7729258
2114,2,116.4150943
2114,3,124.6464646
2115,1,123.4
2115,2,107.7729258
2115,3,149.5757576
2116,1,97.54940711
2116,2,115.3271028
2116,3,115.8685446
2117,1,148.6746988
2117,2,140.2272727
2117,3,147.7844311
2118,1,122.1782178
2118,2,124.6464646
2118,3,108.722467
2119,1,115.3271028
2119,2,118.6538462
2119,3,134.863388
2120,1,139.4350282
2120,2,140.2272727
2120,3,126.5641026
2121,1,128.2077922
2121,3,146.9047619
2122,1,108.245614
2122,2,119.2270531
2122,3,118.6538462
2123,1,143.2385374
2123,2,141.0285714
2123,3,145.1764706
2124,1,127.8756477
