Plot,Repeat,C,N,CN,d13C,d15N
1087,1,41.29,2.88,14.33680556,-13.73,3.29
1087,2,41.39,3.28,12.61890244,-13.48,3.73
1087,3,43.44,3.28,13.24390244,-13.58,3.53
1135,1,45.89,3.31,13.86404834,-14.04,1.49
1135,2,44.99,3.91,11.50639386,-13.77,3.54
1135,3,46.34,2.9,15.97931034,-13.9,4.34
2246,1,44.32,2.87,15.44250871,-13.68,6.15
2246,2,40.96,2.83,14.47349823,-13.78,7.1
2246,3,43.97,2.79,15.75985663,-14.16,4.9
2244,1,43.47,2.78,15.63669065,-14.22,5.36
2244,2,43.54,3.06,14.22875817,-13.4,4.17
2244,3,43.35,2.94,14.74489796,-13.57,3.36
2054,1,43.83,1.65,26.56363636,-13.51,3.84
2054,2,43.65,2.13,20.49295775,-13.52,4.69
2054,3,44.01,1.77,24.86440678,-13.73,6.11
2174,1,42.59,2.12,20.08962264,-13.67,6.15
2174,2,38.18,2.41,15.84232365,-14.07,4.67
2174,3,36.11,1.49,24.23489933,-13.69,4.46
2198,1,42.75,2.61,16.37931034,-13.79,4.7
2198,2,43.88,2.52,17.41269841,-14.09,4.78
2198,3,44.23,2.51,17.62151394,-13.62,3
2052,1,39.2,1.55,25.29032258,-14.23,2.63
2052,2,43.5,2.98,14.59731544,-14.25,3.32
2052,3,41.31,1.84,22.45108696,-13.98,2.4
1034,1,42.12,2.53,16.64822134,-14.49,2.81
1034,2,43.07,2.3,18.72608696,-14.17,3.22
1034,3,43.75,2.26,19.35840708,-14.56,2.17
1172,1,39.61,2.46,16.10162602,-14.42,3.45
1172,2,42.99,2.47,17.4048583,-14.3,5.01
1172,3,42.75,2.47,17.30769231,-13.69,3.47
1195,1,36.4,1.73,21.04046243,-14.03,7.65
1195,2,43.94,1.8,24.41111111,-14,2.93
1195,3,38.9,2.42,16.07438017,-14.12,4.51
2067,1,43.23,1.95,22.16923077,-13.91,4.08
2067,2,45.53,2.12,21.47641509,-14.08,3.63
2067,3,31.9,1.66,19.21686747,-14.26,5.08
1050,1,42.91,1.92,22.34895833,-14.72,4.37
1050,2,39.01,1.36,28.68382353,-14.08,5.83
1050,3,38.23,1.63,23.45398773,-14.06,6.3
1133,1,44.03,3.09,14.24919094,-14.17,8.46
1133,2,44.22,2.95,14.98983051,-13.68,6.74
1133,3,44.33,2.95,15.02711864,-14,4.44
2108,1,44.14,3.1,14.23870968,-13.88,5.17
2108,2,43.44,2.83,15.34982332,-13.98,4.02
2108,3,44.03,2.43,18.11934156,-13.67,4.03
1061,1,43.51,2.96,14.69932432,-13.81,5.48
1061,2,40.67,2.49,16.33333333,-14.04,4.94
1061,3,43.7,2.53,17.27272727,-13.65,5.76
1105,1,40.98,2.37,17.29113924,-14.43,4.81
1105,2,44.69,2.21,20.22171946,-14.54,2.85
1105,3,46.03,2.49,18.48594378,-14.55,4.47
2124,1,43.11,2.31,18.66233766,-13.81,2.95
2124,2,43.68,2.5,17.472,-14.02,4.54
2124,3,44.79,2.3,19.47391304,-13.72,5.67
1237,1,44.48,2.38,18.68907563,-13.66,6.63
1237,2,43.97,2.86,15.37412587,-13.81,4.82
1237,3,46.41,2.78,16.6942446,-14.35,8.45
1054,1,45.04,2.42,18.61157025,-14.21,4.34
1054,2,44.28,2.32,19.0862069,-13.93,5.09
1054,3,42.93,2.24,19.16517857,-14.2,4.22
2015,1,44.05,2.37,18.58649789,-14.04,2.08
2015,2,42.87,2.89,14.83391003,-14.35,2.19
2015,3,42.41,1.62,26.17901235,-14.02,2.85
2007,1,44.93,2.39,18.79916318,-14.51,4.99
2007,2,43.61,2.27,19.21145374,-14.43,3.35
2007,3,43.83,2.46,17.81707317,-13.89,4.35
2226,1,43.03,1.82,23.64285714,-13.6,5.07
2226,2,43.65,1.86,23.46774194,-13.19,4.67
2226,3,43.08,1.83,23.54098361,-13.42,4.37
2172,1,46.95,3.13,15,-13.24,5.6
