Plot,Repeat,N,d15N,C,d13C,CN
1270,2,4.17,2.67,40.97,-30.02,9.824940048
1270,3,3.77,3.16,40.67,-29.43,10.78779841
2067,1,4.96,5.98,41.82,-30.19,8.431451613
2067,2,4.81,3.66,41.57,-29.53,8.642411642
2067,3,4.82,6.67,48.74,-29.94,10.1120332
2078,1,3.82,2.15,41.35,-30.19,10.82460733
2078,2,3.65,2.33,40.59,-29.78,11.12054795
2107,1,3.46,1.85,44.45,-29.71,12.84682081
2107,2,2.9,1.78,41.88,-29.94,14.44137931
2107,3,2.79,5.01,39.38,-29.92,14.11469534
2115,1,3.81,3.2,41.1,-29.96,10.78740157
2115,2,4.69,4.12,47.46,-30.31,10.11940299
2115,3,4.11,2.73,40.26,-30.22,9.795620438
2124,1,4.12,3.24,39.53,-30.69,9.594660194
2124,2,3.75,1.26,43.07,-28.84,11.48533333
2124,3,2.84,0.65,42.29,-29.12,14.89084507
2165,1,2.94,1.86,36.2,-29.86,12.31292517
2165,2,3.67,3.01,42.22,-30.19,11.50408719
2165,3,3.09,1.04,43.78,-30.04,14.16828479
2167,1,4.51,3.69,41.38,-29.12,9.175166297
2167,2,3.91,4.01,39,-29.81,9.974424552
2167,3,4,3.32,42.64,-29.75,10.66
2185,1,5.09,3.56,42.15,-30,8.280943026
2185,2,3.24,2.48,41.58,-29.93,12.83333333
2185,3,3.28,0.48,42.57,-30.42,12.97865854
2194,1,4.25,4.53,46.98,-29.47,11.05411765
2194,2,3.23,1.64,41.56,-29.25,12.86687307
2194,3,3.28,2.33,43.03,-29.72,13.11890244
2208,1,5.09,3.51,46.64,-29.98,9.163064833
2208,2,3.29,2.35,37.35,-29.25,11.35258359
2208,3,3.35,2.07,40.49,-29.77,12.08656716
2222,1,3.38,2.21,43.65,-29.42,12.91420118
2222,2,4.32,2.74,38.83,-29.59,8.988425926
2222,3,3.88,1.47,37.54,-30.35,9.675257732
2224,1,3.34,2.95,36.97,-30.15,11.06886228
2224,2,5.17,-0.04,50.06,-30.37,9.6827853
2224,3,3.77,0.93,42.33,-29.74,11.22811671
2237,1,3.2,4.21,36.82,-29.34,11.50625
2237,2,4.78,4.37,44.91,-30.04,9.39539749
2237,3,3.94,2.87,41.89,-29.66,10.6319797
2240,1,4.27,1.25,38.04,-30.16,8.908665105
2240,2,3.82,0.27,34.82,-30.76,9.115183246
2240,3,3.8,4.56,34.48,-31.17,9.073684211
2248,2,4.27,4,38.56,-30.29,9.030444965
2248,3,4.81,1.68,46.84,-29.4,9.738045738
1133,2,4.98,3.69,45.26,-29.82,9.088353414
