Plot,Repeat,N,d15N,C,d13C,CN
1070,3,2.15,2.39,42.72,-13.51,19.85003541
1071,Pooled,2.53,1.89,36.89,-13.73,14.58239763
1073,Pooled,3.16,2.16,41.31,-13.65,13.06785607
1074,Pooled,3.1,0.74,41.48,-14.43,13.37155867
1075,Pooled,3.47,3.26,45.3,-14.02,13.04677979
1076,1,2.89,1.72,43.63,-14.02,15.08831727
1076,2,2.9,0.66,41.93,-14.21,14.4786856
1076,3,3.16,2.02,44.75,-14.97,14.1779585
1077,1,2.72,1.26,41.43,-13.99,15.23102665
1077,2,2.19,1.64,42.99,-13.23,19.62305128
1077,3,2.35,2.41,42.84,-13.58,18.24695624
1078,Pooled,2.93,2.68,43.07,-13.81,14.70761043
1079,Pooled,3.35,2.69,43.14,-14.3,12.89212231
1080,Pooled,3.11,2.82,42.61,-14.06,13.71740728
1081,Pooled,3.65,0.74,41.9,-13.84,11.47361591
1082,Pooled,2.19,1.92,40.95,-13.61,18.66337835
1083,1,2.19,2.39,41.78,-13.97,19.11132428
1083,2,1.8,0.71,41.11,-13.93,22.77964572
1084,Pooled,3.44,1.99,42.25,-13.67,12.26666564
1085,1,2.76,2.24,43.57,-13.63,15.76695681
1085,2,3.73,0.92,43.53,-14.03,11.68126148
1085,3,3.81,1.43,43.22,-14.02,11.34220994
1086,1,2.86,0.85,42.17,-14.05,14.73068608
1086,2,3.14,2.14,41.3,-13.82,13.150199
1086,3,3.12,1.77,41.02,-13.78,13.14991729
1087,Pooled,3.16,1.03,41.9,-13.74,13.25321845
1088,Pooled,2.81,3.1,40.72,-13.88,14.50498228
1089,Pooled,2.65,1.42,41.68,-13.85,15.73277259
1091,Pooled,3.32,0.27,42.95,-14.15,12.95403584
1092,Pooled,3.07,0.21,42.39,-14.04,13.78585699
1093,1,3.23,3.13,42.46,-14.32,13.14766416
1093,2,2.96,3.16,42.31,-14.29,14.30067457
1093,3,3.09,1.8,44.31,-14.23,14.33651352
1094,Pooled,2.04,1.94,41.95,-13.54,20.54139692
1095,1,2.06,1.69,40.22,-13.25,19.56230855
1095,2,2,2.29,43.9,-12.89,21.96314977
1095,3,1.99,0.75,42.9,-13.05,21.60543567
1096,Pooled,3.23,3.61,42.5,-13.46,13.16072563
1097,Pooled,2.71,1.97,43.02,-13.89,15.86463099
1098,1,3.12,2.5,42.74,-13.88,13.70625856
1098,2,3.29,1.09,41.12,-13.92,12.48158909
1098,3,3.07,3.11,41.8,-13.69,13.62790025
1099,Pooled,2.32,1.38,40.69,-13.86,17.51386854
1100,Pooled,2.77,0.96,40.86,-13.63,14.7400984
1101,Pooled,3.52,2.25,41.92,-13.77,11.91515808
1102,1,2.66,2.15,40.76,-13.46,15.33518924
1102,2,2.75,1.81,41.5,-13.88,15.11681223
1102,3,2.7,-0.33,41.1,-13.83,15.22908332
1103,1,2.72,3.34,41.44,-13.29,15.23041326
1103,2,2.17,3.15,42.39,-13.33,19.51984071
1103,3,2.46,3.69,42.4,-13.59,17.22278982
1104,Pooled,2.28,2.56,41.6,-13.12,18.2207873
1105,Pooled,1.68,1.86,39.83,-14.3,23.73530722
1106,Pooled,2.93,2.59,42.45,-13.67,14.49945555
1107,Pooled,3.31,2.17,42.62,-14.01,12.88654046
1108,Pooled,3.52,0.15,42.65,-14.63,12.10801132
1109,Pooled,3.31,3.19,42.65,-13.67,12.86544501
1110,Pooled,2.55,1.8,42.55,-13.02,16.68051933
1111,Pooled,2.62,1.4,41.85,-13.43,15.99340286
1112,Pooled,3.23,3.44,42.6,-14.32,13.17064976
1113,Pooled,1.78,1.86,40.45,-13.51,22.69680903
1114,1,2.78,1.82,41.16,-13.91,14.81944498
1114,2,3.13,1.48,40.78,-13.92,13.0388597
1114,3,2.96,0.54,41.72,-14.1,14.07241388
1115,Pooled,2.89,1.86,40.6,-13.59,14.02449321
1116,Pooled,2.72,0.87,40.5,-14.47,14.90605312
1117,Pooled,3.4,2.97,44.7,-13.91,13.13515252
1118,1,3.06,2.91,43.28,-13.78,14.13587894
1118,2,2.3,3.08,41.85,-13.49,18.20606958
1118,3,2.54,3.98,43.96,-13.39,17.33302467
1119,Pooled,2.92,1.86,41.67,-13.46,14.25590275
1120,Pooled,2.4,3.17,44.1,-13.57,18.39249482
1121,Pooled,2.95,1.41,40.58,-14.15,13.77590052
1122,Pooled,2,1.85,41.95,-13.28,20.97188632
1123,1,2.81,-1.32,40.28,-14.43,14.34322717
1123,2,3.29,-0.34,40.78,-14.83,12.38787619
1123,3,3.34,-0.63,41.33,-14.43,12.38267932
1124,Pooled,2.5,0.78,41.98,-13.87,16.82477732
1125,Pooled,2.6,-0.09,39.94,-14.42,15.34544575
1126,1,2.44,2.85,41.37,-14.45,16.93113096
1126,2,2.58,2.76,41.72,-13.57,16.14733275
1126,3,2.74,1.59,42.85,-13.8,15.63743316
1127,1,2.89,2.42,42.95,-14.07,14.86288036
1127,2,2.4,1.29,42.2,-13.96,17.5702604
1127,3,2.93,2.67,43.28,-13.76,14.76981511
1128,1,2.18,2.57,42.15,-13.59,19.3054861
1128,2,2.75,2.92,42.25,-14.21,15.36501978
1128,3,2.02,2.36,41.33,-13.78,20.42002053
1129,Pooled,2.79,3.58,42.23,-13.58,15.14044058
1130,Pooled,2.95,1.93,41.96,-14.5,14.24585035
1131,Pooled,3.29,1.26,42.32,-13.73,12.84498879
1132,Pooled,2.98,-0.66,40.57,-15.07,13.59222535
1133,1,2.84,3.87,39.64,-14.15,13.97780323
1133,2,2.34,3.08,40.59,-13.8,17.3667891
1133,3,2.54,2.11,39.48,-14.01,15.53665042
1134,Pooled,3.03,2.84,42.42,-13.81,13.98394914
1135,Pooled,2.93,3.03,43.48,-14.19,14.82248599
1136,Pooled,2.76,4.38,40.25,-13.57,14.57867976
1137,Pooled,2.37,1.53,41.6,-13.87,17.53220931
1138,Pooled,3.2,3.81,43.18,-12.88,13.51094559
1139,1,2.27,-0.02,42.09,-13.35,18.57675907
1139,2,3.27,-0.1,42.53,-14.06,13.01561718
1139,3,3.37,1.07,43.45,-14.02,12.88115901
1140,1,3.36,1.21,42.39,-14.2,12.59968088
1140,3,2.49,1.65,40.43,-14.14,16.21081393
1141,1,2.58,2.04,42.61,-12.88,16.48515907
1141,2,3.2,2.67,42.65,-13.32,13.34070804
1141,3,3.23,2.71,42.6,-13.25,13.17941763
1142,Pooled,2.97,1.53,41.91,-13.54,14.12842488
1143,1,2.62,1.46,39.24,-13.59,14.9506541
1143,2,2.82,1.66,42.19,-13.39,14.955017
1143,3,2.3,3.77,41.38,-13.61,17.98485788
1144,Pooled,2.14,1.51,40.8,-13.33,19.10493461
1145,Pooled,2.62,2.31,41.43,-13.23,15.8314152
1146,1,3.18,2.19,41.84,-14.06,13.16791525
1146,2,3.05,1.26,43.75,-14.19,14.36169254
1146,3,2.64,1.11,42.34,-14.58,16.05437514
1147,Pooled,3.05,1.71,41.37,-14.08,13.57482158
1148,1,3.7,-0.49,42.09,-14.59,11.37312122
1148,2,2.39,-0.4,41.67,-14.41,17.43008257
1148,3,3.01,-0.88,42.67,-14.64,14.15646351
1149,Pooled,3.08,2.31,41.12,-13.85,13.34226182
1150,Pooled,3.69,1.08,43.69,-13.98,11.82966755
1151,Pooled,2.98,1.48,42.61,-14.52,14.31525001
1152,Pooled,3.37,2.25,42.46,-14.24,12.59312487
1153,1,2.97,2.14,42.09,-14.16,14.17866596
1153,2,3.17,2.6,41.99,-14.32,13.24220795
1153,3,2.86,2.31,43.13,-14.16,15.08970146
1154,Pooled,2.25,1.2,41.23,-13.83,18.31738949
1155,Pooled,2.77,0.9,42.41,-13.64,15.33614168
1156,Pooled,2.66,0.33,41.5,-13.61,15.60349217
1158,Pooled,2.14,0.52,39.8,-13.87,18.56948555
1159,Pooled,2.49,1.24,42.89,-13.23,17.21889711
1160,Pooled,2.28,2.29,40.85,-13.79,17.89677795
1161,Pooled,3.1,2.13,43.35,-14.21,13.99873171
1162,Pooled,2.71,0.93,42.58,-13.81,15.72776348
1163,Pooled,2.6,1.32,40.42,-13.89,15.53249434
1164,Pooled,2.79,1.06,41.3,-13.52,14.81048882
1165,Pooled,2.94,1.2,42.88,-14.49,14.57192166
1166,Pooled,2.75,1.62,39.9,-14.03,14.50472927
1167,1,3.15,1.48,43,-13.96,13.67226717
1167,2,2.87,2.67,41.54,-13.7,14.48298657
1168,Pooled,2.98,1.76,42.09,-14.81,14.11967476
1169,Pooled,2.19,1.76,41.6,-13.73,18.99039867
1170,1,3.14,2.17,43.15,-13.51,13.72561052
1170,2,2.66,2.75,41.67,-13.57,15.65390551
1170,3,2.2,2.25,38.9,-13.86,17.64393018
1171,Pooled,3.36,2.85,43.28,-14.46,12.87722677
1172,1,2.82,2.16,41.92,-13.44,14.86361095
1172,2,2.52,1.83,43.12,-13.4,17.12924767
1172,3,2.87,0.57,44.23,-13.72,15.39084106
1173,1,2.9,2.17,44.45,-14.52,15.3152718
1173,2,2.96,-0.06,44.99,-14,15.18667679
1173,3,3.47,1.6,44.86,-14.26,12.91180744
1174,Pooled,3.44,2.54,42.67,-14.1,12.40464949
1175,Pooled,2.26,0.96,41.38,-13.57,18.34563531
1176,Pooled,3.14,2.94,41.79,-13.58,13.32050114
1178,Pooled,2.78,3.61,42.64,-13.8,15.36630704
1179,Pooled,3.11,1.1,42.86,-13.76,13.7594981
1180,Pooled,2.6,0.83,42.98,-14.36,16.50294755
1181,Pooled,2.71,1.54,43.42,-13.76,16.02254247
1181.2,Pooled,2.95,3.24,42.96,-14.45,14.57275416
1182,Pooled,3.43,1.44,42.61,-13.9,12.43705951
1183,1,3.1,1.43,40.74,-14.09,13.12995768
1183,2,3.09,2.29,42.28,-13.76,13.70105972
1183,3,3.15,2.41,42.2,-14.01,13.38496474
1184,1,2.67,4.51,42.11,-13.47,15.79712668
1184,2,2.69,1.84,42.28,-13.72,15.69912716
1184,3,2.21,0.51,41.51,-13.75,18.74422481
1185,Pooled,3.15,1.17,41.25,-14.01,13.08253927
1186,1,2.85,1.95,41.77,-13.46,14.67706511
1186,2,3.29,2.73,41.78,-13.56,12.71648354
1186,3,2.93,1.59,42.52,-13.65,14.48982627
1187,1,3.07,1.85,41.19,-14.54,13.41263202
1187,2,3.39,3.79,42.91,-14.15,12.66754754
1187,3,2.72,1.3,41.28,-14.46,15.19579847
1188,Pooled,2.54,2.15,41.34,-13.76,16.3004549
1189,Pooled,2.85,1.76,41.01,-13.69,14.38729453
1190,Pooled,3.72,2.07,41.64,-13.7,11.18172162
1191,Pooled,3.64,2.3,41.07,-14.76,11.28376697
1192,Pooled,3.32,2.89,40.97,-14.13,12.34234002
1193,Pooled,2.08,2.59,41.1,-13.24,19.72517154
1194,Pooled,1.88,0.84,40.46,-13.88,21.5420092
1195,Pooled,3.43,0.46,43.16,-13.97,12.58350358
1196,Pooled,2.78,2.67,42.63,-13.59,15.33585713
1197,Pooled,2.31,1.46,40.81,-14.42,17.69305786
1198,Pooled,2.56,2.23,41.25,-14.14,16.13407758
1199,Pooled,3.45,0.63,40.86,-13.88,11.85800555
1200,Pooled,3.21,2.46,42.59,-13.97,13.27741218
1201,Pooled,2.91,2.78,41.54,-14.11,14.24967117
1202,Pooled,4.35,2.29,42.97,-14.51,9.869147294
1203,Pooled,3.14,3.62,43.43,-14,13.84367598
1204,Pooled,3.48,2.05,41.59,-14.76,11.95329805
1205,1,2.05,3.01,42.62,-14.01,20.7585105
1205,2,1.96,1.68,44.01,-14.13,22.40194264
1205,3,2.11,2.65,43.74,-14.14,20.70915803
1206,1,3.28,2.6,42.9,-14.36,13.0889693
1206,2,3.3,3.33,43.5,-14.19,13.19998366
1206,3,3.19,3.22,43.17,-14.45,13.51241592
1207,Pooled,3.31,1.26,41.63,-13.64,12.56695706
1208,Pooled,3.37,1.35,43.81,-14.52,13.01474523
1209,Pooled,3.13,3.23,41.14,-14.06,13.1446189
1210,Pooled,2.85,4.44,41.68,-13.31,14.64183484
1211,Pooled,2.75,1.75,41.43,-14.2,15.08568857
1212,Pooled,3.34,1.52,43.98,-14.28,13.17526559
1213,1,2.72,1.34,41,-13.78,15.05494817
1213,2,2.31,3.15,41.18,-13.46,17.84927294
1213,3,2.15,2.16,40.17,-13.4,18.67940272
1214,1,3.13,2.38,42.53,-13.84,13.60026822
1214,2,3.44,3.07,41.71,-14.53,12.11068333
1214,3,2.88,2.33,42.18,-14.09,14.6294855
1215,Pooled,3.84,3.5,44.23,-14.35,11.53295445
1216,Pooled,3.24,2.39,45.17,-13.84,13.94443994
1216.2,Pooled,2.34,2.62,40.49,-14.27,17.32682938
1218,Pooled,2.8,4.05,41.62,-14.14,14.84712808
1219,1,3.4,1.45,42.98,-14.65,12.63080622
1219,2,3.38,1.53,42.44,-13.9,12.55162223
1219,3,3.17,1.42,42.48,-14.01,13.39449525
1220,Pooled,2.04,1.99,41.45,-13.66,20.35830493
1222,1,2.56,2.92,42.02,-14.19,16.38642442
1222,2,2.69,-0.22,42.52,-13.31,15.81843054
1222,3,2.39,1.29,42.37,-13.54,17.75547521
1223,1,2.74,1.42,41.13,-14.04,15.03091641
1223,2,3.08,2.07,42.72,-14.68,13.88433844
1223,3,2.91,1.9,42.56,-14.41,14.62643809
1224,Pooled,3.73,3.67,44.92,-13.92,12.05874582
1225,1,2.98,2.83,42.73,-14.12,14.33895811
1225,2,3.65,2.08,43.22,-14.15,11.8324534
1225,3,3.39,2.68,43,-14,12.68935417
1226,1,2.89,2.59,40.58,-13.63,14.04455044
1226,2,2.78,1.77,42.79,-13.64,15.37169323
1226,3,2.39,2.11,41.83,-13.14,17.53283374
1227,Pooled,2.95,2.54,41.42,-13.56,14.01910545
1228,Pooled,2.68,1.72,42.22,-13.66,15.73148701
1229,1,3.12,1.76,40.98,-14.17,13.1282359
1229,2,2.81,0.8,39.99,-14.29,14.23379261
1229,3,2.67,-1.39,39.45,-14.13,14.7882763
1231,Pooled,2.56,1.98,41.69,-13.92,16.31155314
1232,Pooled,5.71,2.71,82.72,-13.52,14.48414685
1233,Pooled,3.46,2.4,43.13,-13.62,12.45576379
1234,1,2.43,1.78,42.37,-13.55,17.44930798
1234,3,2.42,1.03,42.36,-12.86,17.51370146
1235,Pooled,2.89,3.48,42.82,-13.53,14.83756325
1236,Pooled,3.48,-0.25,43.09,-13.65,12.39166268
1238,1,2.81,1.8,40.63,-13.51,14.46312458
1238,2,2.41,2.84,40.26,-13.73,16.72834584
1238,3,1.54,2.56,40.93,-13.38,26.5316601
1239,1,2.68,2.36,42.83,-14.3,15.97395829
1239,2,2.81,1.95,42.74,-14.31,15.19552502
1239,3,3.21,2.64,43.35,-14.15,13.49659369
1240,Pooled,2.93,4.18,39.76,-13.65,13.57046689
1241,Pooled,2.97,0.85,41.96,-13.59,14.12096821
1242,Pooled,3.08,1.73,40.95,-14.27,13.29831415
1243,Pooled,2.55,0.81,42.18,-13.61,16.56272179
1244,1,3.52,1.56,44.49,-14.46,12.65750069
1244,2,3.27,1.08,43.17,-14.09,13.21066786
1244,3,3,0.88,42.88,-14.2,14.30467625
1245,Pooled,2.66,1.92,42.23,-13.53,15.87712491
1246,1,3.35,2.35,43.61,-13.51,13.03186499
1246,2,3.1,2.45,40.91,-14.05,13.19256316
1246,3,3.38,1.6,44.03,-13.72,13.01630805
1247,Pooled,2.65,0.23,41.63,-12.78,15.69310346
1248,Pooled,2.89,2.28,41.06,-14.34,14.21447214
1250,Pooled,2.84,2.92,42.71,-13.98,15.02076563
1251,Pooled,3.67,0.27,42.37,-13.97,11.55448687
1252,Pooled,3.23,4.4,42.77,-14.44,13.25585523
1253,1,1.8,2.57,41.3,-13.58,22.92294967
1253,2,2.54,2.7,40.95,-13.78,16.09530591
1253,3,2.93,3.28,40.92,-13.87,13.99025504
1254,Pooled,3.37,2.02,44.56,-14.26,13.21018183
1255,Pooled,2.65,3.54,42.66,-13.78,16.08059836
1257,Pooled,3.13,1.87,41.42,-14.23,13.23752486
1258,Pooled,2.79,1.57,42.29,-13.85,15.16857642
1259,1,3.04,-0.37,42.25,-13.89,13.91792826
1259,2,2.84,0.62,42.27,-13.11,14.88539465
1259,3,2.54,-0.08,41.91,-13.57,16.52211062
1260,Pooled,3.26,0.47,41.39,-14.21,12.7093766
1261,Pooled,2.94,2.21,39.82,-13.48,13.53477273
1262,Pooled,5.71,1.85,46.29,-30.46,8.106005005
1263,Pooled,2.9,2.7,41.52,-14.59,14.31083287
1264,Pooled,2.53,1.76,41.79,-14.37,16.52160691
1265,Pooled,3.76,3.15,43.07,-14.09,11.4470622
1266,Pooled,3.37,2.12,40.93,-14.18,12.13751519
1267,Pooled,3.24,1.2,42.5,-13.86,13.09738999
1268,Pooled,2.63,0.48,43.62,-13.25,16.60436308
1269,Pooled,2.75,2.9,42.89,-14.2,15.59026799
1270,Pooled,3.41,2.03,43.08,-14.41,12.62994041
1271,1,3.4,2.29,40.52,-14.33,11.90548471
1271,2,3.61,1.25,43.79,-14.83,12.13751425
1272,1,2.22,1.74,44.55,-15.72,20.06257151
1272,2,3.06,3.9,44.4,-14.65,14.49799337
1272,3,3.3,4.13,45.2,-15.05,13.67999843
1273,Pooled,2.72,2.16,43.59,-14.2,16.01946557
1274,Pooled,2.86,2.26,42.04,-13.48,14.70025861
1275,Pooled,3.19,2.09,41.81,-14.12,13.09784542
1276,Pooled,3.41,2.03,41.4,-13.84,12.15324989
1277,1,2.19,2.81,42.92,-13.81,19.56343807
1277,2,2.4,4.11,41.97,-13.81,17.49938065
1277,3,2.3,2.81,41.56,-13.89,18.03895405
1278,Pooled,2.66,1.78,41.87,-13.46,15.71400255
1279,1,3.07,0.57,40.95,-14.14,13.35726672
1279,2,3.23,2.03,42.05,-14.63,13.02667024
1279,3,3.13,0.81,41.41,-14.22,13.23299883
1280,1,2.67,1.4,41.41,-13.68,15.49148462
1280,2,3.07,2.01,41.61,-13.64,13.53894785
1280,3,2.37,1.92,41.65,-13.98,17.56285209
1281,Pooled,2.47,0.28,43.25,-16.85,17.54465292
1282,Pooled,2.67,1.38,43.33,-13.74,16.20912917
1283,Pooled,3.5,0.45,41.21,-13.93,11.77576933
1284,1,3.64,-0.63,42.95,-14.56,11.81486348
1284,2,3.23,1.55,44.77,-14.63,13.86205358
1284,3,3.57,0.8,43.2,-14.36,12.11274369
1285,Pooled,3.03,0.67,41.96,-13.87,13.84487854
1286,Pooled,3.28,2.41,41.34,-13.87,12.61070731
1287,Pooled,3.19,3.3,42.34,-13.85,13.26587178
1288,Pooled,3.8,2.96,42.06,-14.98,11.0620968
1289,1,2.07,2.28,41.38,-13.52,19.95156021
1289,2,2.68,1.57,41.22,-14.06,15.36498211
1289,3,2.83,1.97,42.83,-13.45,15.1482014
1290,Pooled,3.38,2.28,43,-13.8,12.71278942
1291,Pooled,2.11,1.44,42.54,-13.88,20.17856175
1292,1,3.16,1.01,39.86,-14.83,12.61622076
1292,2,3.34,1.38,41.7,-14.72,12.49784838
1292,3,3.1,2.56,41.44,-15.08,13.35571798
1293,Pooled,3.13,2.58,40.79,-14.12,13.04902686
1294,Pooled,3.6,3.36,41.92,-14.27,11.63830037
1295,Pooled,3.05,2.31,42.23,-13.67,13.84620332
1296,Pooled,2.91,2.37,41.89,-14.51,14.39081742
1297,1,2.71,1.75,43.15,-13.88,15.90231265
1297,2,2.01,2.72,37.74,-13.69,18.77831472
1297,3,2.28,1.78,42.68,-13.71,18.73464742
1298,Pooled,3.14,1.63,42.29,-13.37,13.45794174
1299,Pooled,2.67,2.39,42.54,-13.48,15.91250917
1300,1,2.9,2.31,43.62,-14.06,15.04152713
1300,2,3.06,1.11,43.71,-14.25,14.26557602
1300,3,3.29,3.32,44.02,-14.39,13.35867298
1301,1,2.76,0.92,42.73,-14.48,15.49406659
1301,2,2.88,0.66,42.27,-14.8,14.66887165
1301,3,3.27,-0.48,42.26,-14.3,12.93545454
1302,Pooled,3.05,3.07,42.87,-13.64,14.04208888
1303,1,2.87,3.14,43.17,-14.17,15.06276337
1303,2,2.77,2.33,42.01,-13.82,15.18454047
1303,3,2.72,1.86,42.09,-13.6,15.46436271
1304,1,2.1,4.42,41.73,-13.87,19.87698673
1304,2,2.65,4.36,41.3,-14.09,15.60644717
1304,3,2.66,5.16,41.29,-14.04,15.52416452
1306,Pooled,1.83,3.12,40.39,-13.42,22.07584893
1307,Pooled,2.99,2.4,41.65,-13.32,13.94381838
1308,Pooled,3.8,0.69,43.84,-13.66,11.5434843
1309,Pooled,3.14,1.23,42.06,-14.29,13.40669382
1310,Pooled,2.81,0.51,42.01,-13.65,14.96838153
1311,Pooled,3.7,0.84,42.48,-13.18,11.49352629
1312,Pooled,2.96,3.38,42.68,-13.57,14.39748658
1313,Pooled,2.92,0.61,44.57,-13.73,15.29099385
1314,1,2.1,1.79,41.78,-14.44,19.93299019
1314,2,2.15,2.38,41.92,-14.38,19.47979067
1314,3,2.24,1.16,41.52,-14.36,18.55029287
1315,1,2.51,-0.2,41.78,-14.22,16.63324707
1315,2,2.22,0.63,42.69,-14.16,19.23403397
1315,3,2.79,0.2,43.29,-14.38,15.51175462
1315.2,1,2.1,1.22,42.05,-14.05,19.99585412
1316,Pooled,3.19,2.12,41.51,-14.31,12.99768149
1317,Pooled,2.49,1.7,39.71,-13.5,15.92714324
1318,Pooled,3.51,0.96,41.4,-13.65,11.81139107
1319,Pooled,3.01,0.92,42.27,-13.64,14.05114494
1320,Pooled,3.02,2.72,42.72,-14.38,14.14016044
2001,Pooled,3,0.97,43.49,-13.9,14.48006522
2002,Pooled,2.95,1.73,38.25,-13.54,12.94527359
