"Plot","Repeat","A_maxCO2","CO2"
2083,2,37.70331339,1188.315
1007,3,48.83503852,1171.578
2063,3,50.61860647,1168.268
1175,1,37.50740759,1190.73
2095,3,37.20984576,1190.18
1180,1,39.01510181,1186.798
1180,2,30.61304215,1200.913
2063,2,47.22462499,1172.789
1064,1,27.14027304,1207.294
1007,1,46.11306668,1177.876
1107,3,36.81841442,1442.729
1180,3,52.42864941,1164.069
1204,3,44.46628768,1177.907
2063,1,46.66872944,1174.379
1175,2,39.73760541,1187.384
1064,2,30.47314138,1200.555
