Accession,group1_21,group2_21,group1_22,group2_22
SSA_72,1243,2056,2048,1289
SSA_67,2282,1244,2027,1075
SSA_128,2125,1245,1095,2312
SSA_267,2266,1246,1092,2247
SSA_296,2211,1247,2200,1074
SSA_146,1248,2314,2165,1283
SSA_70,2238,1249,2006,1297
SSA_24,2319,1250,2207,1197
SSA_234,2249,1251,2035,1107
SSA_281,2162,1252,2054,1100
SSA_123,2212,1253,2093,1210
SSA_73,1254,2039,2052,1086
SSA_189,2173,1255,2199,1112
SSA_176,2306,1256,2079,1302
SSA_125,1257,2229,1318,2097
SSA_142,2133,1258,1219,2303
SSA_58,1259,2190,2210,1236
SSA_312,1260,2195,1178,2157
SSA_220,1261,2201,1071,2057
SSA_157,2138,1262,1011,2250
SSA_298,2299,1263,2316,1150
SSA_175,2109,1264,2225,1284
SSA_153,2288,1266,1254,2030
SSA_190,2242,1267,2283,1133
SSA_224,2153,1268,2099,1065
SSA_104,2018,1269,1061,2178
SSA_261,1270,2127,1046,2212
SSA_167,1271,2270,1021,2031
SSA_31,2087,1272,1062,2094
SSA_92,2183,1273,2143,1060
SSA_248,1274,2147,1276,2231
SSA_269,1275,2074,1064,2145
SSA_232,2100,1276,1030,2071
SSA_115,1277,2027,2314,1102
SSA_27,1278,2046,2128,1109
SSA_217,1279,2002,2233,1288
SSA_65,1280,2014,1163,2111
SSA_256,2145,1281,1258,2274
SSA_86,2012,1282,1052,2148
SSA_21,1283,2073,1294,2080
SSA_163,2295,1284,1228,2293
SSA_180,1285,2006,1040,2223
SSA_47,2031,1286,2174,1035
SSA_257,1287,2102,1226,2003
SSA_237,2181,1288,1165,2270
SSA_20,2150,1289,1256,2215
SSA_140,2178,1290,2005,1080
SSA_124,1291,2076,1218,2152
SSA_36,2011,1292,2202,1172
SSA_306,2311,1293,2288,1105
SSA_79,1294,2042,1023,2280
SSA_247,2256,1295,1164,2192
SSA_339,2168,1296,1078,2115
SSA_222,1297,2030,1206,2083
SSA_318,2279,1298,1146,2053
SSA_211,1299,2294,2292,1085
SSA_160,1300,2094,2061,1313
SSA_107,1301,2003,1009,2170
SSA_346,1302,2099,2213,1304
SSA_132,2182,1303,1028,2017
SSA_292,1304,2080,1099,2104
SSA_109,2301,1305,1057,2134
SSA_26,2274,1306,1038,2107
SSA_5,1307,2222,2141,1113
SSA_184,2072,1308,1277,2112
SSA_230,2092,1309,2309,1087
SSA_309,1310,2110,2034,1169
SSA_42,2189,1311,2077,1066
SSA_133,2137,1312,2244,1179
SSA_266,1313,2230,2281,1039
SSA_94,1314,2199,2095,1281
SSA_280,2119,1315,2290,1072
SSA_169,2020,1316,1312,2065
SSA_29,2112,1317,2123,1022
SSA_205,1318,2134,1050,2185
SSA_136,1319,2257,1054,2163
SSA_118,1320,2207,2125,1266
